clockModel rep method tmrca
scenario1 rep001 emd -8.0396
scenario1 rep002 emd -1.9613
scenario1 rep003 emd -7.943
scenario1 rep004 emd -4.7548
scenario1 rep005 emd -6.7058
scenario1 rep006 emd 1.9648
scenario1 rep007 emd -0.6909
scenario1 rep008 emd 0.2655
scenario1 rep009 emd -20.2586
scenario1 rep010 emd -13.2102
scenario1 rep011 emd -8.0977
scenario1 rep012 emd -4.5072
scenario1 rep013 emd -19.8628
scenario1 rep014 emd -0.4092
scenario1 rep015 emd 2.9521
scenario1 rep016 emd -0.3818
scenario1 rep017 emd 7.9216
scenario1 rep018 emd -2.0594
scenario1 rep019 emd 0.213
scenario1 rep020 emd 0.2264
scenario1 rep021 emd -4.756
scenario1 rep022 emd -9.6169
scenario1 rep023 emd 2.3004
scenario1 rep024 emd 0.5821
scenario1 rep025 emd -9.5913
scenario1 rep026 emd 1.067
scenario1 rep027 emd -8.2136
scenario1 rep028 emd -4.8492
scenario1 rep029 emd -9.2001
scenario1 rep030 emd 0.9882
scenario1 rep031 emd 3.301
scenario1 rep032 emd 0.595
scenario1 rep033 emd -12.3213
scenario1 rep034 emd 4.7678
scenario1 rep035 emd -5.196
scenario1 rep036 emd -3.8722
scenario1 rep037 emd -14.3036
scenario1 rep038 emd 3.7297
scenario1 rep039 emd -5.2653
scenario1 rep040 emd -6.4371
scenario1 rep041 emd -8.8866
scenario1 rep042 emd -0.4724
scenario1 rep043 emd 2.0321
scenario1 rep044 emd 8.4929
scenario1 rep045 emd -6.25
scenario1 rep046 emd -5.1175
scenario1 rep047 emd 0.9039
scenario1 rep048 emd -3.027
scenario1 rep049 emd -11.1847
scenario1 rep050 emd 0.3261
scenario1 rep051 emd -14.3655
scenario1 rep052 emd -4.2831
scenario1 rep053 emd -4.0438
scenario1 rep054 emd -48.6159
scenario1 rep055 emd 3.5508
scenario1 rep056 emd -1.059
scenario1 rep057 emd 2.9583
scenario1 rep058 emd 0.117
scenario1 rep059 emd 6.3932
scenario1 rep060 emd 0.241
scenario1 rep061 emd -2.3958
scenario1 rep062 emd -16.754
scenario1 rep063 emd -0.0137
scenario1 rep064 emd 4.0175
scenario1 rep065 emd -2.4355
scenario1 rep066 emd -13.2799
scenario1 rep067 emd -15.9191
scenario1 rep068 emd -14.6887
scenario1 rep069 emd -11.294
scenario1 rep070 emd -4.9289
scenario1 rep071 emd -34.4777
scenario1 rep072 emd 1.509
scenario1 rep073 emd -2.8551
scenario1 rep074 emd -60.9492
scenario1 rep075 emd -10.3304
scenario1 rep076 emd -6.786
scenario1 rep077 emd -5.93
scenario1 rep078 emd 5.8126
scenario1 rep079 emd -1.6927
scenario1 rep080 emd -21.8426
scenario1 rep081 emd -9.9527
scenario1 rep082 emd -21.0969
scenario1 rep083 emd -7.0902
scenario1 rep084 emd -4.6695
scenario1 rep085 emd -6.9863
scenario1 rep086 emd -18.4557
scenario1 rep087 emd -34.6625
scenario1 rep088 emd -11.3119
scenario1 rep089 emd -6.2198
scenario1 rep090 emd -3.806
scenario1 rep091 emd -0.432
scenario1 rep092 emd -10.6332
scenario1 rep093 emd 1.7698
scenario1 rep094 emd -7.7659
scenario1 rep095 emd -25.4794
scenario1 rep096 emd 1.372
scenario1 rep097 emd -4.267
scenario1 rep098 emd -3.0788
scenario1 rep099 emd -25.0543
scenario1 rep100 emd 3.4264
scenario2 rep001 emd -2.8075
scenario2 rep002 emd -26.3689
scenario2 rep003 emd 10.221
scenario2 rep004 emd 6.7063
scenario2 rep005 emd -16.6505
scenario2 rep006 emd 7.7957
scenario2 rep007 emd -11.3291
scenario2 rep008 emd -1.7801
scenario2 rep009 emd -2.9467
scenario2 rep010 emd -7.8881
scenario2 rep011 emd -12.8454
scenario2 rep012 emd -5.0788
scenario2 rep013 emd 0.5357
scenario2 rep014 emd 8.6849
scenario2 rep015 emd 1.9232
scenario2 rep016 emd -9.466
scenario2 rep017 emd 2.3099
scenario2 rep018 emd 1.7367
scenario2 rep019 emd 2.2738
scenario2 rep020 emd -16.0784
scenario2 rep021 emd 2.9033
scenario2 rep022 emd 5.274
scenario2 rep023 emd -1.5979
scenario2 rep024 emd 2.5433
scenario2 rep025 emd 4.7598
scenario2 rep026 emd -5.1843
scenario2 rep027 emd 7.0994
scenario2 rep028 emd 9.0112
scenario2 rep029 emd -7.6316
scenario2 rep030 emd -2.0832
scenario2 rep031 emd -4.073
scenario2 rep032 emd -5.6042
scenario2 rep033 emd 8.8718
scenario2 rep034 emd -25.7142
scenario2 rep035 emd -12.6676
scenario2 rep036 emd 3.7387
scenario2 rep037 emd 3.6488
scenario2 rep038 emd -26.7931
scenario2 rep039 emd -0.7489
scenario2 rep040 emd 3.3731
scenario2 rep041 emd -0.4551
scenario2 rep042 emd -6.7667
scenario2 rep043 emd -41.7456
scenario2 rep044 emd -11.5707
scenario2 rep045 emd 2.8501
scenario2 rep046 emd -1.6649
scenario2 rep047 emd 0.2763
scenario2 rep048 emd 4.2591
scenario2 rep049 emd -90.3806
scenario2 rep050 emd 2.0635
scenario2 rep051 emd -5.6006
scenario2 rep052 emd 5.8867
scenario2 rep053 emd -2.4342
scenario2 rep054 emd -29.9762
scenario2 rep055 emd 7.8574
scenario2 rep056 emd 8.7326
scenario2 rep057 emd 4.6157
scenario2 rep058 emd 2.0252
scenario2 rep059 emd -0.7592
scenario2 rep060 emd 5.8963
scenario2 rep061 emd 6.9473
scenario2 rep062 emd 4.9756
scenario2 rep063 emd -9.2112
scenario2 rep064 emd 7.086
scenario2 rep065 emd 6.9367
scenario2 rep066 emd 5.9712
scenario2 rep067 emd -15.1038
scenario2 rep068 emd 4.03
scenario2 rep069 emd 0.1331
scenario2 rep070 emd 9.9581
scenario2 rep071 emd 0.5096
scenario2 rep072 emd 5.6946
scenario2 rep073 emd 6.1229
scenario2 rep074 emd 4.4347
scenario2 rep075 emd 8.0582
scenario2 rep076 emd -6.5686
scenario2 rep077 emd 5.249
scenario2 rep078 emd -23.0056
scenario2 rep079 emd -11.3249
scenario2 rep080 emd -25.7713
scenario2 rep081 emd -9.3115
scenario2 rep082 emd 6.0806
scenario2 rep083 emd -10.213
scenario2 rep084 emd -22.4254
scenario2 rep085 emd -39.7502
scenario2 rep086 emd -30.5152
scenario2 rep087 emd -5.8697
scenario2 rep088 emd -14.4386
scenario2 rep089 emd 1.6891
scenario2 rep090 emd 3.2374
scenario2 rep091 emd 1.888
scenario2 rep092 emd -11.287
scenario2 rep093 emd 7.8
scenario2 rep094 emd 1.2408
scenario2 rep095 emd -132.8638
scenario2 rep096 emd 1.7431
scenario2 rep097 emd 6.6963
scenario2 rep098 emd 7.4136
scenario2 rep099 emd -3.2396
scenario2 rep100 emd 6.2852
scenario3 rep001 emd -13.9748
scenario3 rep002 emd -14.3811
scenario3 rep003 emd 7.9513
scenario3 rep004 emd -11.5694
scenario3 rep005 emd 0.3658
scenario3 rep006 emd 4.1293
scenario3 rep007 emd -31.863
scenario3 rep008 emd -5.0518
scenario3 rep009 emd -2.4014
scenario3 rep010 emd 4.3198
scenario3 rep011 emd -6.7667
scenario3 rep012 emd -13.4068
scenario3 rep013 emd 5.1872
scenario3 rep014 emd -1.0312
scenario3 rep015 emd 3.3729
scenario3 rep016 emd 9.4196
scenario3 rep017 emd 0.4443
scenario3 rep018 emd 2.2437
scenario3 rep019 emd -0.439
scenario3 rep020 emd -16.6369
scenario3 rep021 emd 6.6319
scenario3 rep022 emd 4.0162
scenario3 rep023 emd 2.1762
scenario3 rep024 emd 7.638
scenario3 rep025 emd 1.0881
scenario3 rep026 emd 0.1049
scenario3 rep027 emd 3.5302
scenario3 rep028 emd 5.4816
scenario3 rep029 emd -16.5121
scenario3 rep030 emd 6.5803
scenario3 rep031 emd -7.0998
scenario3 rep032 emd 1.2373
scenario3 rep033 emd 2.0903
scenario3 rep034 emd 0.9716
scenario3 rep035 emd 0.8703
scenario3 rep036 emd -12.8243
scenario3 rep037 emd 3.5838
scenario3 rep038 emd 6.7165
scenario3 rep039 emd -5.694
scenario3 rep040 emd -0.4722
scenario3 rep041 emd 6.5945
scenario3 rep042 emd 3.4062
scenario3 rep043 emd 0.337
scenario3 rep044 emd 2.5166
scenario3 rep045 emd 1.4731
scenario3 rep046 emd 2.0991
scenario3 rep047 emd 3.7365
scenario3 rep048 emd 7.4917
